time,latitude,longitude,depth,mag,place
2010-08-03 16:26:25.090000+00:00,38.452,69.637,23.7,5.2,"28 km ENE of Norak, Tajikistan"
2010-08-10 09:34:10.640000+00:00,39.466,73.572,35.0,4.2,"112 km E of Kyzyl-Eshme, Kyrgyzstan"
2010-08-12 15:23:25.860000+00:00,42.227,81.051,41.6,4.5,"132 km NNE of Aksu, China"
2010-08-20 16:57:15.580000+00:00,39.321,71.817,13.0,5.2,"26 km ENE of Karakenja, Tajikistan"
2010-09-07 15:41:37.970000+00:00,39.453,73.84,10.0,5.4,"135 km E of Kyzyl-Eshme, Kyrgyzstan"
2010-09-07 15:49:12.150000+00:00,39.376,73.782,10.0,4.6,"131 km E of Kyzyl-Eshme, Kyrgyzstan"
2010-09-08 18:17:29.400000+00:00,39.404,73.916,10.0,4.1,"137 km N of Murghob, Tajikistan"
2010-09-22 01:04:37.160000+00:00,43.211,84.056,50.2,4.8,"69 km ESE of Xinyuan, China"
2010-09-26 06:37:51.340000+00:00,40.958,74.861,35.0,4.0,"82 km WSW of At-Bashi, Kyrgyzstan"
2010-10-02 09:52:26.050000+00:00,38.493,69.674,35.0,4.6,"25 km S of Obigarm, Tajikistan"
2010-10-04 05:01:51.180000+00:00,44.155,82.085,10.0,4.5,"89 km ENE of Qapqal, China"
2010-10-07 01:40:03.360000+00:00,39.154,70.285,3.6,5.1,"15 km NNW of Rasht, Tajikistan"
2010-10-08 08:29:31.720000+00:00,39.235,70.116,35.0,4.4,Kyrgyzstan-Tajikistan border region
2010-10-09 10:15:17.830000+00:00,39.229,70.266,30.9,4.9,"24 km NNW of Rasht, Tajikistan"
2010-10-09 10:58:12.720000+00:00,38.904,72.823,10.0,4.9,"87 km SSE of Kyzyl-Eshme, Kyrgyzstan"
2010-10-10 01:41:48.270000+00:00,39.273,72.458,61.7,4.7,"36 km SSE of Kyzyl-Eshme, Kyrgyzstan"
2010-10-27 04:48:05.880000+00:00,41.469,73.209,44.8,4.7,Kyrgyzstan
2010-10-30 17:27:35.360000+00:00,41.706,77.634,48.5,4.2,"61 km SE of Kadzhi-Say, Kyrgyzstan"
